Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,NSGAII,MOEAD
1,0.3055555556,0.1177201117,0.1453868857,1.9789038745,0.4031893825,0.1916666667,0.1057381462,-0.0586745462,2.0567493538,0.11356622,0.5027777778,0.1399128918,-0.254787246,2.7829878927,-0.05703319,0.5027777778,0.1399128918,-0.254787246,2.7829878927,-0.05703319,0.71176977605,0.7119888226
2,0.3522727273,0.1238375702,0.2210891592,2.9163565216,0.1812872041,0.1772727273,0.114541847,0.4592336734,2.303024366,0.6560011629,0.4704545455,0.1040750286,-0.1204612205,2.9339242722,-0.2494273871,0.4704545455,0.1040750286,-0.1204612205,2.9339242722,-0.2494273871,0.78983422385,0.7898593295
3,0.3041666667,0.0776164,0.1860494935,2.150844206,-0.1389255499,0.1541666667,0.0876981882,0.1333261362,4.5276612874,1.1700897131,0.5416666667,0.0986013297,0.1446692842,3.0938265306,-0.5825527542,0.5416666667,0.0986013297,0.1446692842,3.0938265306,-0.5825527542,0.800794240515,0.8017430957000002
4,0.3453125,0.0904497227,0.1777883476,2.7179377233,-0.1136084244,0.1546875,0.0851096489,0.1833033837,2.0268899928,0.1957639423,0.5,0.0960143218,0.128440367,2.1740879058,0.1853537038,0.5,0.0960143218,0.128440367,2.1740879058,0.1853537038,0.77398164805,0.7742030026499999
5,0.3633333333,0.133499896,0.3841143518,2.9467913757,0.1967305495,0.1733333333,0.102252411,0.5310663637,2.0118523153,0.4571491028,0.4633333333,0.1132352517,0.1321812507,3.3817660823,0.1329777596,0.4633333333,0.1132352517,0.1321812507,3.3817660823,0.1329777596,0.7053284405900001,0.7065731888499999
6,0.3212121212,0.1108030624,0.009926065,2.5992238621,0.1760371103,0.1734848485,0.0926134427,0.22956456,2.4317716449,0.3411496158,0.5053030303,0.1171404195,-0.0080810217,2.550757757,-0.0145428476,0.5053030303,0.1171404195,-0.0080810217,2.550757757,-0.0145428476,0.8400510180000001,0.84050517255
7,0.325,0.1502313031,0.8781163435,4.2127242604,1.0138212817,0.1972222222,0.117227488,0.3970463042,2.3030626795,0.2995679592,0.4777777778,0.1192828364,0.0424663745,2.612650044,-0.1302271479,0.4777777778,0.1192828364,0.0424663745,2.612650044,-0.1302271479,0.81681554876,0.8170895733500002
8,0.2441176471,0.0983426676,-0.0306846947,2.3248597515,0.4425122637,0.1676470588,0.0969250415,0.5150200486,2.1326221218,0.1260736577,0.5882352941,0.1064527122,0.0672688056,2.6243936834,-0.3863412772,0.5882352941,0.1064527122,0.0672688056,2.6243936834,-0.3863412772,0.7818474831500001,0.7820877881
9,0.3363636364,0.1399527665,0.1699062429,2.6992402393,-0.0301145494,0.1863636364,0.1013340764,-0.2434885983,3.3848442769,0.504428396,0.4772727273,0.0973831149,0.1959425018,3.4784199809,1.0204655514,0.4772727273,0.0973831149,0.1959425018,3.4784199809,1.0204655514,0.76403364875,0.7645986961000002
10,0.3925,0.1925324648,0.4362897393,2.2764266727,0.0827692165,0.1825,0.1237689379,0.6566798654,3.2772570035,0.9379522295,0.425,0.1299038106,-0.0468431772,2.2279835391,-0.2480467823,0.425,0.1299038106,-0.0468431772,2.2279835391,-0.2480467823,0.68008450385,0.6811542617499999
11,0.325,0.1677050983,0.9162303665,2.3985185185,0.9540556704,0.15625,0.094991776,0.1823385119,3.1204250295,0.4768013582,0.51875,0.1028879852,0.4162612926,2.0047248812,-0.8540258954,0.51875,0.1028879852,0.4162612926,2.0047248812,-0.8540258954,0.7663275058,0.76652139405
12,0.3571428571,0.092306057,0.1931765791,1.8632794292,0.0625545727,0.1357142857,0.0854161482,-0.0109689214,3.6902049,0.8789312874,0.5071428571,0.0903507903,-0.1719600726,2.47421875,0.658149038,0.5071428571,0.0903507903,-0.1719600726,2.47421875,0.658149038,0.7606499918499998,0.7607151004999999
13,0.3387096774,0.1101389719,0.1566020152,2.8543314577,-0.1290095142,0.15,0.088445354,0.2216216216,2.7906259964,0.6119452169,0.5112903226,0.1013693959,-0.0401679737,3.9647785932,0.4348214005,0.5112903226,0.1013693959,-0.0401679737,3.9647785932,0.4348214005,0.7375424576149999,0.7395493140499999
14,0.5068965517,0.1633296529,0.4311189349,2.8631197354,-0.4077035082,0.1844827586,0.119700379,0.313704405,6.3097734199,1.574793363,0.3086206897,0.1167586411,0.0197405187,4.1676595315,0.4902951168,0.3086206897,0.1167586411,0.0197405187,4.1676595315,0.4902951168,0.6372191278150001,0.63777533035
15,0.3297297297,0.1291654394,0.1982715431,2.4994548232,0.4699595907,0.2081081081,0.1199738223,0.2648832852,2.2438806383,0.278208986,0.4621621622,0.112949047,-0.0414909827,2.2710383755,-0.2609804029,0.4621621622,0.112949047,-0.0414909827,2.2710383755,-0.2609804029,0.6346159763999999,0.6365972518499999
16,0.49,0.1232882801,0.4685918428,2.0706371191,0.2305251774,0.178,0.0928224111,0.1884212589,2.2818426818,0.0553967649,0.332,0.0926066952,0.3471618176,2.6888191969,0.0049559616,0.332,0.0926066952,0.3471618176,2.6888191969,0.0049559616,0.800114596455,0.80277666225
17,0.3695652174,0.1419883112,0.0652494188,3.1829211843,-0.5128266188,0.1326086957,0.0669339318,0.2075982967,3.2370747209,0.4345539754,0.497826087,0.1347124642,-0.3126484733,2.9060473633,0.1128863701,0.497826087,0.1347124642,-0.3126484733,2.9060473633,0.1128863701,0.77366263085,0.77518693965
18,0.3788461538,0.1264706388,0.3570849853,2.8911043069,0.2379053305,0.1788461538,0.0810663035,0.072244561,2.2151517752,-0.1108552329,0.4423076923,0.1071414483,0.1278061224,2.2778822138,0.0359441681,0.4423076923,0.1071414483,0.1278061224,2.2778822138,0.0359441681,0.7283013139050001,0.7290264868499998
19,0.2867647059,0.1100192654,0.3279258949,2.4637132523,-0.1094455087,0.1514705882,0.0878545708,0.1341647327,4.437544793,1.0287032149,0.5617647059,0.0962982679,-0.2124309162,2.3334470372,0.0104277091,0.5617647059,0.0962982679,-0.2124309162,2.3334470372,0.0104277091,0.82442057335,0.8270755761499998
20,0.2558823529,0.1055550497,0.0233491763,3.061017129,0.1077346855,0.1941176471,0.1148942646,0.3731122024,1.6988580636,0.0276791114,0.55,0.1071008321,0.115942029,3.8392504931,0.1436460864,0.55,0.1071008321,0.115942029,3.8392504931,0.1436460864,0.7875467973999999,0.7891424392500002
21,0.3565217391,0.1066325954,-0.003435061,2.7763063248,0.2869424624,0.1630434783,0.0899485255,0.2449408906,2.7626184601,0.4580704672,0.4804347826,0.077654657,-0.2626612817,3.1341771406,-0.2378665597,0.4804347826,0.077654657,-0.2626612817,3.1341771406,-0.2378665597,0.8173009849000001,0.8184101963000001
22,0.2934782609,0.074168357,-0.0923684571,2.3341348709,0.1046264663,0.2097826087,0.0777534881,-0.185678307,2.7549838756,-0.3967812615,0.4967391304,0.085593944,0.0510931464,2.4642219091,-0.3666548821,0.4967391304,0.085593944,0.0510931464,2.4642219091,-0.3666548821,0.7410255091999999,0.7421007761000001
23,0.3580645161,0.0968010715,0.1380969471,3.2094932453,0.1451290423,0.1596774194,0.0846428501,0.4146454422,3.8048463475,0.7326987483,0.4822580645,0.0937983313,0.1131248716,2.8061992718,-0.1538132281,0.4822580645,0.0937983313,0.1131248716,2.8061992718,-0.1538132281,0.68077319268,0.685975915
24,0.2933333333,0.1202312586,0.020467443,1.9596744891,-0.1163740722,0.1783333333,0.099735762,0.2964232504,2.4224329732,0.254586892,0.5283333333,0.1030237297,-0.1560977501,4.4966707285,1.0708058819,0.5283333333,0.1030237297,-0.1560977501,4.4966707285,1.0708058819,0.79543050495,0.7960268671
25,0.4,0.0881917104,-0.25,1.6989795918,-0.2429771612,0.1833333333,0.0816496581,-0.6736842105,3.3958333333,-0.8335069264,0.4166666667,0.0745355992,-0.2193548387,1.86,-0.3801315562,0.4166666667,0.0745355992,-0.2193548387,1.86,-0.3801315562,0.7603252029099998,0.76054996035
26,0.3025,0.1066243406,0.0978449193,2.2247956259,-0.3745559245,0.15,0.0806225775,0.1162790698,1.9822485207,-0.1431170014,0.5475,0.1042532973,0.0338997671,2.8329676623,-0.2976064334,0.5475,0.1042532973,0.0338997671,2.8329676623,-0.2976064334,0.656840086,0.6591111595499999
27,0.29,0.1178982612,0.1833508957,2.1679519694,0.3771084594,0.195,0.1105667219,-0.7097061443,1.5403791386,-0.3173832409,0.515,0.126589889,0.2454304015,2.5239838299,0.4377396723,0.515,0.126589889,0.2454304015,2.5239838299,0.4377396723,0.792523152755,0.7958514277000001
28,0.3411764706,0.1140630555,-0.534743069,1.5738845349,-0.1390772797,0.2529411765,0.1387661896,-0.0514024831,3.4344236092,0.566557279,0.4058823529,0.1454024364,-0.3835258119,2.7976734499,-0.3319218858,0.4058823529,0.1454024364,-0.3835258119,2.7976734499,-0.3319218858,0.73107193995,0.7315996556
29,0.2863636364,0.1024493425,0.175,2.189518879,0.3699647809,0.1795454545,0.1114563621,0.5285949988,2.6236306033,0.618298028,0.5340909091,0.1080681221,0.1526371924,2.7674354735,0.3052725351,0.5340909091,0.1080681221,0.1526371924,2.7674354735,0.3052725351,0.77496423345,0.7771630734499999
30,0.3,0.1118033989,-0.6842105263,1.64,0.0,0.1875,0.167238602,-0.8574338086,1.2121032427,0.097709392,0.5125,0.0819679816,-0.8823529412,2.1487290427,0.9575491626,0.5125,0.0819679816,-0.8823529412,2.1487290427,0.9575491626,0.7190114889000001,0.71983405305
31,0.3026315789,0.1455241743,-0.6823506055,2.9336655059,0.2296680779,0.2473684211,0.1371454129,0.3980312383,4.9087987836,1.049687099,0.45,0.144185553,-0.2611464968,2.2848101266,0.6716029522,0.45,0.144185553,-0.2611464968,2.2848101266,0.6716029522,0.7474431864999997,0.7476168622
32,0.3441176471,0.1186720059,0.202195681,2.2086610846,-0.2295419877,0.1882352941,0.0978134656,0.0821433429,2.6820188418,0.0954276933,0.4676470588,0.1360592177,0.027606939,3.0455498297,0.5020168008,0.4676470588,0.1360592177,0.027606939,3.0455498297,0.5020168008,0.6393986142699999,0.6428488468
33,0.3804347826,0.1291604415,-0.0766351689,3.1525133819,0.2082098367,0.1717391304,0.0930475416,0.4950828806,2.2631671784,0.2038436874,0.447826087,0.1068097261,-0.1965892569,1.9109142403,0.1904122858,0.447826087,0.1068097261,-0.1965892569,1.9109142403,0.1904122858,0.766368041985,0.7674767492499999
34,0.2166666667,0.0552770798,0.2741935484,3.3966942149,-1.4253263562,0.1833333333,0.1178511302,-0.374301676,2.8824,0.4016366517,0.6,0.1290994449,-0.1935483871,2.715,-0.8714212529,0.6,0.1290994449,-0.1935483871,2.715,-0.8714212529,0.76450556945,0.76534509645
