Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,NSGAII,MOEAD
1,0.28,0.0459565012,0.134765625,1.7400568182,-0.0568719615,0.2268,0.0483917348,-0.2953362796,3.8000117976,0.4711683926,0.4932,0.0529694251,-0.134698043,2.1463800536,-0.1147094739,0.4932,0.0529694251,-0.134698043,2.1463800536,-0.1147094739,0.71176977605,0.7119888226
2,0.2692,0.042324461,-0.1464919702,2.3563643538,-0.3083715893,0.2284,0.0328243812,0.2208941747,2.8223293856,0.3929109775,0.5024,0.0527848463,-0.0195371999,3.634438668,-0.6423740322,0.5024,0.0527848463,-0.0195371999,3.634438668,-0.6423740322,0.78983422385,0.7898593295
3,0.2528,0.0466064373,-0.1356113582,1.9309232618,-0.1563475059,0.266,0.0458693798,0.1847445766,2.0927800026,0.2954330507,0.4812,0.0567323541,0.126605467,2.2012159264,0.1409197769,0.4812,0.0567323541,0.126605467,2.2012159264,0.1409197769,0.800794240515,0.8017430957000002
4,0.234,0.0502792204,-0.0253108675,2.0753785451,-0.3228804484,0.2648,0.0562224155,0.1848253809,2.809871114,0.5980952853,0.5012,0.0437556853,0.0760911849,3.615464036,-0.375946752,0.5012,0.0437556853,0.0760911849,3.615464036,-0.375946752,0.77398164805,0.7742030026499999
5,0.2184,0.0391591624,0.1620892881,5.9554995318,1.2790487434,0.246,0.048,-0.4020318272,2.2396195023,0.0125868056,0.5356,0.0517748974,-0.0580769661,2.2327822622,-0.5378661488,0.5356,0.0517748974,-0.0580769661,2.2327822622,-0.5378661488,0.7053284405900001,0.7065731888499999
6,0.278,0.0414728827,0.5600687201,2.6582909681,0.5221680419,0.2452,0.0340728631,-0.1570891929,3.3047089342,-0.4118484415,0.4768,0.0384416441,-0.1101485581,2.1197957472,-0.1693567212,0.4768,0.0384416441,-0.1101485581,2.1197957472,-0.1693567212,0.8400510180000001,0.84050517255
7,0.2664,0.0401875603,-0.0669267767,2.9509831872,0.0198612986,0.3168,0.0500175969,-0.126789842,3.4571272446,0.699818174,0.4168,0.0486390789,0.0106115406,2.8905503082,0.685019281,0.4168,0.0486390789,0.0106115406,2.8905503082,0.685019281,0.81681554876,0.8170895733500002
8,0.2488,0.0438470067,-0.0597619792,2.4208126404,0.0180660863,0.2164,0.0417497305,0.1241589222,2.490798323,-0.3194729787,0.5348,0.0349994286,-0.3427989507,2.7483803962,0.0842020017,0.5348,0.0349994286,-0.3427989507,2.7483803962,0.0842020017,0.7818474831500001,0.7820877881
9,0.2988,0.0421729771,-0.0461992577,2.2559187739,-0.482559946,0.3124,0.0583287236,0.0931348056,3.6338083517,-0.4294818592,0.3888,0.0538382763,-0.1609319004,2.9310787242,0.5459445513,0.3888,0.0538382763,-0.1609319004,2.9310787242,0.5459445513,0.76403364875,0.7645986961000002
10,0.2776,0.0532375807,0.4516156772,2.8149421461,-0.483402318,0.3544,0.0720044443,0.4588409557,2.9657074885,0.7163817359,0.368,0.0870861642,0.716510498,1.9497309459,-0.3634549646,0.368,0.0870861642,0.716510498,1.9497309459,-0.3634549646,0.68008450385,0.6811542617499999
11,0.2556,0.0553591907,0.0443445039,3.5344915061,-0.1738905178,0.2964,0.0424150917,0.4479910611,3.4851971805,0.609074202,0.448,0.0456946386,-0.212214209,3.4008235346,0.5518894898,0.448,0.0456946386,-0.212214209,3.4008235346,0.5518894898,0.7663275058,0.76652139405
12,0.2556,0.044907015,0.0926035431,2.0499551759,0.0912623115,0.2624,0.0470131896,0.4355951765,2.5504121134,-0.3195786147,0.482,0.042142615,0.0810711665,1.9382152423,-0.1398084075,0.482,0.042142615,0.0810711665,1.9382152423,-0.1398084075,0.7606499918499998,0.7607151004999999
13,0.2492,0.049712775,0.4077885447,1.9487451356,0.1355365855,0.2776,0.0527090125,-0.1256256711,2.2350763608,-0.0747266868,0.4732,0.047050611,-0.2837341561,3.7778003233,0.9968929669,0.4732,0.047050611,-0.2837341561,3.7778003233,0.9968929669,0.7375424576149999,0.7395493140499999
14,0.238,0.0513809303,0.3661526795,2.3363360882,0.1790547572,0.2196,0.0367129405,0.1577153087,3.4639669118,-0.3512816196,0.5424,0.0489309718,-0.0373721284,1.9662091988,0.3013819683,0.5424,0.0489309718,-0.0373721284,1.9662091988,0.3013819683,0.6372191278150001,0.63777533035
15,0.2668,0.0377062329,0.2592839324,3.7852962493,1.0595504034,0.2716,0.034719447,-0.114991571,2.6000224872,-0.0141021943,0.4616,0.0403663226,-0.00092591,2.4524778251,-0.0545106076,0.4616,0.0403663226,-0.00092591,2.4524778251,-0.0545106076,0.6346159763999999,0.6365972518499999
16,0.3204,0.0558913231,-0.3778022083,3.279051128,0.1918223451,0.3,0.0585149554,-0.0541516245,2.9569995196,-0.1952532233,0.3796,0.0705679814,0.2175138781,3.1066345453,0.3365112834,0.3796,0.0705679814,0.2175138781,3.1066345453,0.3365112834,0.800114596455,0.80277666225
17,0.2368,0.0426820805,0.1023615945,2.8125614061,0.1872726097,0.2244,0.0411902901,0.2977653696,2.1072830249,0.3233760844,0.5388,0.0439381383,-0.1353060831,3.002360175,-0.7371423457,0.5388,0.0439381383,-0.1353060831,3.002360175,-0.7371423457,0.77366263085,0.77518693965
18,0.2896,0.0415191522,0.165643877,3.541478242,0.6252226755,0.1956,0.046825634,0.0716480021,2.2382295606,-0.1119292024,0.5148,0.0544147039,0.465585877,3.0449716543,0.7744027345,0.5148,0.0544147039,0.465585877,3.0449716543,0.7744027345,0.7283013139050001,0.7290264868499998
