Generation 0 | Revalues: 100 | GridSize: 6
Generation 1 | Revalues: 344 | GridSize: 8
Generation 2 | Revalues: 564 | GridSize: 9
Generation 3 | Revalues: 798 | GridSize: 17
Generation 4 | Revalues: 1002 | GridSize: 20
Generation 5 | Revalues: 1232 | GridSize: 9
Generation 6 | Revalues: 1456 | GridSize: 17
Generation 7 | Revalues: 1638 | GridSize: 9
Generation 8 | Revalues: 1862 | GridSize: 11
Generation 9 | Revalues: 2080 | GridSize: 10
Generation 10 | Revalues: 2300 | GridSize: 11
Generation 11 | Revalues: 2522 | GridSize: 11
Generation 12 | Revalues: 2756 | GridSize: 15
Generation 13 | Revalues: 2966 | GridSize: 23
Generation 14 | Revalues: 3176 | GridSize: 18
Generation 15 | Revalues: 3394 | GridSize: 15
Generation 16 | Revalues: 3570 | GridSize: 20
Generation 17 | Revalues: 3798 | GridSize: 19
Generation 18 | Revalues: 4040 | GridSize: 21
Generation 19 | Revalues: 4292 | GridSize: 23
Generation 20 | Revalues: 4512 | GridSize: 21
Generation 21 | Revalues: 4750 | GridSize: 17
Generation 22 | Revalues: 4966 | GridSize: 14
Generation 23 | Revalues: 5188 | GridSize: 11
Generation 24 | Revalues: 5414 | GridSize: 11
Generation 25 | Revalues: 5642 | GridSize: 13
Generation 26 | Revalues: 5870 | GridSize: 10
Generation 27 | Revalues: 6104 | GridSize: 13
Generation 28 | Revalues: 6334 | GridSize: 20
Generation 29 | Revalues: 6576 | GridSize: 17
Generation 30 | Revalues: 6804 | GridSize: 25
Generation 31 | Revalues: 7032 | GridSize: 20
Generation 32 | Revalues: 7254 | GridSize: 16
Generation 33 | Revalues: 7458 | GridSize: 28
Generation 34 | Revalues: 7666 | GridSize: 18
Generation 35 | Revalues: 7890 | GridSize: 20
Generation 36 | Revalues: 8116 | GridSize: 22
Generation 37 | Revalues: 8332 | GridSize: 20
Generation 38 | Revalues: 8552 | GridSize: 20
Generation 39 | Revalues: 8782 | GridSize: 15
Generation 40 | Revalues: 8992 | GridSize: 16
Generation 41 | Revalues: 9222 | GridSize: 19
Generation 42 | Revalues: 9436 | GridSize: 25
Generation 43 | Revalues: 9656 | GridSize: 28
