Generation 0 | Revalues: 100 | GridSize: 4
Generation 1 | Revalues: 322 | GridSize: 26
Generation 2 | Revalues: 506 | GridSize: 36
Generation 3 | Revalues: 714 | GridSize: 49
Generation 4 | Revalues: 916 | GridSize: 63
Generation 5 | Revalues: 1116 | GridSize: 46
Generation 6 | Revalues: 1320 | GridSize: 39
Generation 7 | Revalues: 1494 | GridSize: 63
Generation 8 | Revalues: 1682 | GridSize: 59
Generation 9 | Revalues: 1888 | GridSize: 42
Generation 10 | Revalues: 2086 | GridSize: 37
Generation 11 | Revalues: 2294 | GridSize: 51
Generation 12 | Revalues: 2486 | GridSize: 44
Generation 13 | Revalues: 2674 | GridSize: 51
Generation 14 | Revalues: 2862 | GridSize: 34
Generation 15 | Revalues: 3044 | GridSize: 22
Generation 16 | Revalues: 3260 | GridSize: 46
Generation 17 | Revalues: 3458 | GridSize: 51
Generation 18 | Revalues: 3652 | GridSize: 36
Generation 19 | Revalues: 3838 | GridSize: 46
Generation 20 | Revalues: 4044 | GridSize: 34
Generation 21 | Revalues: 4224 | GridSize: 33
Generation 22 | Revalues: 4424 | GridSize: 27
Generation 23 | Revalues: 4622 | GridSize: 39
Generation 24 | Revalues: 4856 | GridSize: 34
Generation 25 | Revalues: 5054 | GridSize: 40
Generation 26 | Revalues: 5258 | GridSize: 36
Generation 27 | Revalues: 5478 | GridSize: 40
Generation 28 | Revalues: 5712 | GridSize: 46
Generation 29 | Revalues: 5914 | GridSize: 34
Generation 30 | Revalues: 6132 | GridSize: 43
Generation 31 | Revalues: 6340 | GridSize: 36
Generation 32 | Revalues: 6558 | GridSize: 41
Generation 33 | Revalues: 6752 | GridSize: 47
Generation 34 | Revalues: 6942 | GridSize: 42
Generation 35 | Revalues: 7128 | GridSize: 46
Generation 36 | Revalues: 7328 | GridSize: 53
Generation 37 | Revalues: 7524 | GridSize: 50
Generation 38 | Revalues: 7722 | GridSize: 59
Generation 39 | Revalues: 7902 | GridSize: 61
Generation 40 | Revalues: 8106 | GridSize: 72
Generation 41 | Revalues: 8306 | GridSize: 75
Generation 42 | Revalues: 8474 | GridSize: 68
Generation 43 | Revalues: 8664 | GridSize: 74
Generation 44 | Revalues: 8856 | GridSize: 84
Generation 45 | Revalues: 9068 | GridSize: 80
Generation 46 | Revalues: 9264 | GridSize: 68
Generation 47 | Revalues: 9450 | GridSize: 80
Generation 48 | Revalues: 9640 | GridSize: 85
Generation 49 | Revalues: 9820 | GridSize: 80
Generation 50 | Revalues: 10040 | GridSize: 90
Generation 51 | Revalues: 10250 | GridSize: 94
Generation 52 | Revalues: 10454 | GridSize: 95
Generation 53 | Revalues: 10706 | GridSize: 106
Generation 54 | Revalues: 10908 | GridSize: 110
Generation 55 | Revalues: 11122 | GridSize: 115
Generation 56 | Revalues: 11314 | GridSize: 115
Generation 57 | Revalues: 11514 | GridSize: 116
Generation 58 | Revalues: 11712 | GridSize: 118
Generation 59 | Revalues: 11918 | GridSize: 119
Generation 60 | Revalues: 12136 | GridSize: 125
Generation 61 | Revalues: 12354 | GridSize: 127
Generation 62 | Revalues: 12566 | GridSize: 136
Generation 63 | Revalues: 12774 | GridSize: 153
