Feature,Importance
INF_avg,0.15031978334986928
SUP_sk,0.0985339230174229
IND_r1,0.07247388108739646
INC_r1,0.06793929379288406
SUP_sd,0.06727783800149206
INF_sk,0.06704503483836642
IND_sd,0.05851101448555931
SUP_r1,0.055855963498932945
INC_sd,0.05558611477787654
IND_kr,0.0487631258483483
INC_kr,0.04801992577707323
INF_r1,0.03940736589104233
INF_kr,0.031388261575912145
SUP_avg,0.027188224068475465
SUP_kr,0.026707452834871918
INF_sd,0.026223895370782135
INC_sk,0.01601688135663495
IND_sk,0.016003564159794904
IND_avg,0.01339904485407664
INC_avg,0.013339411413187896
