Feature,Importance
INF_sk,0.14565301907908149
SUP_sk,0.120709112981439
SUP_sd,0.07772694825898256
SUP_avg,0.07542522418010651
IND_kr,0.07415900613653868
INC_kr,0.07268103235638335
INF_kr,0.0641645431672341
INF_r1,0.06261107534805284
SUP_kr,0.043854525089880275
INC_sk,0.03328351872364701
IND_sk,0.032839691709216384
INF_avg,0.031462482303574735
SUP_r1,0.028330262751569562
INF_sd,0.026219695231851997
IND_sd,0.023465295876082683
INC_sd,0.022513748010640496
INC_avg,0.02014246596233871
IND_avg,0.020049274148159248
IND_r1,0.01256346366097757
INC_r1,0.012145615024242877
