Instance,Mean,,Median,,Standard deviation,
,MOEA/D,NSGA-II,MOEA/D,NSGA-II,MOEA/D,NSGA-II
1,0.7119888226,0.71176977605,0.7458201250000001,0.7415731354999999,0.2883136553492058,0.28560909907627374
2,0.7898593295,0.78983422385,0.9449758045,0.944718992,0.27753261421596886,0.2758132924311448
3,0.8017430957,0.800794240515,0.9717698815,0.9711771085,0.2756297949832726,0.2751796379620309
4,0.77420300265,0.77398164805,0.8792555255,0.8749949530000001,0.29153096315104254,0.2858557495757577
5,0.70657318885,0.70532844059,0.851694123,0.8479125194999999,0.2955199640061624,0.2928736421002943
6,0.84050517255,0.840051018,0.9603122235,0.9578899395,0.271334920274581,0.26239542544614647
7,0.81708957335,0.81681554876,0.901139294,0.9000927915,0.26549111956609334,0.2651197701781979
8,0.7820877881,0.78184748315,0.8734699459999999,0.8692362995,0.25641237010523443,0.25056625614153255
9,0.7645986961,0.76403364875,0.818455478,0.8172836345000001,0.25034729007731904,0.25036870779656356
10,0.68115426175,0.68008450385,0.8599632349999999,0.859514374,0.37419614832319753,0.37543500852651385
11,0.76652139405,0.7663275058,0.7888966584999999,0.788374753,0.28051833448033897,0.28072236087086144
12,0.7607151005,0.76064999185,0.840678782,0.8404928105,0.27443140013071554,0.2736736440945881
13,0.73954931405,0.737542457615,0.928029654,0.9235495425,0.31563277357774305,0.31042808203181144
14,0.63777533035,0.637219127815,0.6795524505,0.679072968,0.3285447819945605,0.32922260432200917
15,0.63659725185,0.6346159764,0.7700154275,0.7670309175000001,0.36833657438865774,0.3682808324213101
16,0.80277666225,0.800114596455,0.942941057,0.9412885635,0.279301608661336,0.2794364668212107
17,0.77518693965,0.77366263085,0.863512694,0.859400765,0.2656543855118186,0.2616888514385152
18,0.72902648685,0.728301313905,0.9229842755,0.922126137,0.3329914828943203,0.3327264430411579
19,0.82707557615,0.82442057335,0.884657157,0.8794264855,0.22944122461844696,0.22799584885584825
20,0.78914243925,0.7875467974,0.9790179240000001,0.9785777680000001,0.32676602593948356,0.3279867147849538
21,0.8184101963,0.8173009849,0.959406357,0.9591606345,0.26471859380878027,0.2658922489426394
22,0.7421007761,0.7410255092,0.8454940745,0.8365072425,0.27870810715831373,0.2658136636534122
23,0.685975915,0.68077319268,0.8235140455,0.8175406295000001,0.3389722923068297,0.3416247949765183
24,0.7960268671,0.79543050495,0.9150632845,0.910926713,0.29394401177133533,0.28960370662376383
25,0.76054996035,0.76032520291,0.8575970470000001,0.8573351795,0.2647353780567266,0.2632699178001734
26,0.65911115955,0.656840086,0.8119519075,0.8108484455,0.3301970529947963,0.32999512038809353
27,0.7958514277000001,0.792523152755,0.9453361255,0.9430654075,0.2636064113458483,0.26524325009409155
28,0.7315996556,0.73107193995,0.942787492,0.9427111355,0.32305561609466105,0.32280586902337366
29,0.77716307345,0.77496423345,0.9459913934999999,0.944842725,0.3022794363146639,0.3042559330624337
30,0.71983405305,0.7190114889,0.803211809,0.8015725505,0.28607825576769474,0.28590170680662585
31,0.7476168622,0.7474431865,0.8507639655,0.8499511895,0.276450640176571,0.27622214499609743
32,0.6428488468,0.63939861427,0.6939956684999999,0.6887929225,0.3282644498372737,0.329893465682967
33,0.76747674925,0.766368041985,0.9472191704999999,0.9468908574999999,0.32016197720792794,0.3201349772017
34,0.76534509645,0.76450556945,0.9093489269999999,0.909206675,0.3113933293199356,0.31239444233637176
35,0.7574199466,0.75632273775,0.942153003,0.9417970245,0.31585479657272103,0.31568062659710305
36,0.7286659674,0.7276138883,0.7691035545,0.7653562735,0.2784975221506634,0.2765141193438878
37,0.73100726895,0.72919403098,0.914153292,0.9122472735,0.34320449015980087,0.34427591747820624
38,0.77823592205,0.7765490827,0.966121169,0.9659159575,0.3432827608326849,0.34609874684191977
39,0.7078194889,0.70680990205,0.854553159,0.849447251,0.3233464481607831,0.3190757197075832
40,0.82418378155,0.8218606848,0.915783054,0.912833359,0.26315826809492465,0.2609421034097912
41,0.7506875141,0.749797933305,0.8888456665,0.887940521,0.28461441584940994,0.2838598000335685
42,0.8762528021,0.87576420235,0.98487119,0.9841924525,0.27311936686641025,0.2720644982249947
43,0.63861530075,0.636202389055,0.6051084765,0.605016839,0.32595016114479497,0.32873319438297716
44,0.69448487515,0.69254160251,0.7269799385,0.7257116805,0.31205096364358037,0.31425005866460076
45,0.82222607775,0.82206636465,0.8968701895,0.8948533455000001,0.23100060100753192,0.2284092386852091
46,0.8532817499,0.85322618785,0.977168597,0.9768611505,0.2561721434355656,0.253551654078597
47,0.72005595115,0.71962372875,0.8150809395,0.8099169975,0.26389743493138357,0.2572624687446962
48,0.81780338405,0.81773549661,0.891420713,0.891420713,0.2381320947021539,0.23833561031742714
49,0.74160256915,0.7407271528,0.9643044845,0.9634690370000001,0.338071160235074,0.3357216158514169
50,0.72689887615,0.725652133275,0.7461004625,0.719728336,0.2928112664772102,0.2749344447313865
51,0.74112207175,0.741080836505,0.89838839,0.898063485,0.3060303790137726,0.305643424230373
52,0.70125970265,0.70125969515,0.946618162,0.946618162,0.3707821455647663,0.3707821531762574
53,0.8852070294,0.8849452218,0.977105054,0.977105054,0.22069557702876175,0.22179415965422666
54,0.6839509701,0.6833471601,0.76548541,0.76548541,0.32569545830232577,0.32665162145633564
