Instance,Mean,,Median,,Standard deviation,
,MOEA/D,NSGA-II,MOEA/D,NSGA-II,MOEA/D,NSGA-II
1,0.7718365639325,0.7864280212065,0.81671963035,0.8242830219,0.309827872136044,0.29783386040403387
2,0.85494733975025,0.8580990758825,1.0208694615,1.0198345930000001,0.29692132790972886,0.29169895163111187
3,0.833329381664,0.8345209516005,0.9996358555,1.00033030465,0.27713334854682836,0.2751038941742265
4,0.829975254759,0.841914442732,0.9480992427499999,0.9505648806,0.308637075796345,0.2940922747491191
5,0.769912382652,0.7824370710690001,0.93192434375,0.9333926372500001,0.32139026040571095,0.3089761358640534
6,0.853723504604,0.863454224875,0.97213772205,0.9795848544,0.27040134113697906,0.25990719895878583
7,0.89495084814765,0.8953164421311,0.9908657663,0.9884684502,0.2897726692953488,0.2882331830883385
8,0.8426888000365,0.8496971893615,0.9457107946500001,0.9440598928999999,0.2723459220196219,0.2644067610730667
9,0.839327901124,0.8414360364705,0.90070325255,0.90074103225,0.2746627565830387,0.27218367602791804
10,0.7472385977549,0.7495472415556,0.94686469835,0.9465997820000001,0.41202293172616244,0.4096314596599626
11,0.8432967255428,0.84477591386785,0.8705221778500001,0.870505576,0.30817332501237177,0.30715406975750464
12,0.83282519867655,0.834660494222,0.9227247514,0.9230600062500001,0.2998662308109456,0.2976941411747131
13,0.7747638967155,0.809988600655,0.96711499535,0.9820158679,0.3218213800920666,0.293990756621916
14,0.7014876096670499,0.7026664897285,0.752880159,0.7535440149,0.3592324103970308,0.3579497553122127
15,0.6971847377835,0.7091500058715,0.8546062088999999,0.85993399625,0.40771713562303447,0.3956517763270374
16,0.8394748290724999,0.841437776193,0.9831638107,0.98111682435,0.2876666978342789,0.28421477100062786
17,0.8437855269675,0.847325606423,0.94764942305,0.94291836335,0.2857665318817689,0.2742144039308364
18,0.7854032922315,0.797014896937,0.99596827175,0.99898732965,0.3569131735444866,0.3472827578293058
19,0.8750120107195,0.8734264176595,0.9413339165000001,0.9338452027499999,0.24030233844369944,0.23612815805137488
20,0.851953586534,0.859541554492,1.0573520625000001,1.0583661599999998,0.3540975316565556,0.3454599111691591
21,0.8932429793272,0.8931640374665,1.0461002449999999,1.044898233,0.28849803030519183,0.28731000380239424
22,0.764446006361,0.7952744484100001,0.87361257185,0.8881063017,0.2773573296686342,0.25036966056316745
23,0.71383914887,0.716745742012,0.85857116705,0.8521233949,0.3443159218816368,0.33971225813511047
24,0.8444064924765,0.848639360797,0.97657755115,0.9748459643,0.31226385296307946,0.3055399116868945
25,0.83635418598125,0.8428779811095,0.9453371871,0.94793313205,0.289440065866306,0.28378799567760005
26,0.713376150462,0.7257509020165,0.8822999696,0.8836182413,0.3558839361327067,0.343848051276558
27,0.8503340953565,0.8476239001105,1.00584645325,1.00298233675,0.27785763884861725,0.2776025440288268
28,0.79514338827055,0.7993313951545,1.0225128620000001,1.0212585275000001,0.34388550213361324,0.3395752993491585
29,0.83421662330805,0.8370842358645,1.0152112995,1.014747286,0.3243599213730003,0.3203939596500703
30,0.7806844699395,0.787475604019,0.8806237561000001,0.8844416921,0.30346653679858054,0.29740851127020573
31,0.81697556558025,0.8182590734115001,0.93316273885,0.9314483526499999,0.29885530696413976,0.2971086242459423
32,0.693708735741,0.7024466048275,0.7573343404499999,0.75323447195,0.34933822383920665,0.339798401364808
33,0.831493429155,0.8345448013905,1.02515867,1.0247906515,0.3456498021008967,0.3412116445113104
34,0.8390999987569,0.842975179296,0.9986818113,0.9997652002499999,0.3409192251311684,0.33584625676268987
35,0.7980528354165,0.806232032006,0.9891614061,0.99352100395,0.3292473000365198,0.32185737368543693
36,0.787508744454,0.7940808087719999,0.8429088815,0.84169673635,0.2987074311368717,0.2909426971408012
37,0.79737656969445,0.7970023187251,0.99813889785,0.9959119841,0.37259861156184043,0.3725205761368424
38,0.8404115351521501,0.84304583333,1.0455784600000002,1.045888287,0.3722234775752344,0.36907550830793395
39,0.745861697179,0.75427252018,0.90210458075,0.8996087046,0.33696469740420143,0.326337817614325
40,0.878487577229,0.882483722401,0.98113436355,0.9785141447,0.2797614473054409,0.27211212530500317
41,0.8094335772749,0.8101207985905,0.96097181705,0.95819597385,0.3043857290387338,0.30182807916913035
42,0.9392129208365,0.9417585922175,1.0544265135000002,1.055577805,0.291707319917912,0.28770041302946664
43,0.690100888639,0.690442936986,0.67296913605,0.6710086606500001,0.3475529989506087,0.3453167209730663
44,0.75827300615745,0.7623849277685,0.8017219088,0.8025483931499999,0.33927349212977265,0.3349192864524896
45,0.8980231701996501,0.9007423443485,0.9854875399,0.98482186275,0.24969292980495014,0.24622578937773917
46,0.9044510584675,0.9079605268265,1.0347054230000001,1.035814766,0.2706801428375033,0.2663288160904409
47,0.7791805791735,0.797458773722,0.885900389,0.8914976947,0.2813688915136251,0.2649652800962521
48,0.89863126231682,0.89961484684535,0.97951528185,0.97981569445,0.2601656611727406,0.2600458244969089
49,0.7758084539445,0.794565947509,1.0072099188499999,1.0140973205,0.3502148164921285,0.3338573800148261
50,0.7550702930725,0.8000912594499999,0.7886108741,0.8134554932,0.2949205245647496,0.2599094731829502
51,0.80897943663175,0.809008635978,0.9812710083,0.9796020779499999,0.33347189292597157,0.33227235324904275
52,0.76038913270525,0.76026751411025,1.027190503,1.0271397260000001,0.404113896103864,0.40405312396110343
53,0.95976293777764,0.959357618004782,1.0576167855,1.0570903685,0.23964979244378756,0.23964201664556553
54,0.75075501141667,0.7507715803767212,0.8436789650000001,0.8423453441,0.3568423268124101,0.35604053845598527
55,0.85004966725715,0.84560667682705,1.0051057645,0.99898060905,0.30868163723292297,0.3100668102800993
56,0.98373237381355,0.98366479516635,1.0613733895,1.0611267165,0.2403817544057429,0.23998238280847964
57,0.787531834062,0.7860012260005,0.91929282655,0.9145110078,0.2922453228244167,0.2918438374058118
58,0.84694070581095,0.8470944573885,0.92119865975,0.9203486919999999,0.2837054150027357,0.2834898846897579
59,0.831458875888,0.832107439166,0.95649199465,0.9544781618,0.25447578786705854,0.2512498983390756
60,0.80578300367995,0.80501119870855,0.91621625465,0.91406766715,0.3267297208666043,0.32635572040149535
61,0.8580380147335,0.8633881234395,0.9919038354999999,0.99161991395,0.29298392147124797,0.2860741608231407
62,0.8646101655135,0.869905512174,0.99449963695,0.995006568,0.2811884709846118,0.27357832403695415
63,0.887798659229,0.8997551320295,1.0290880135,1.032842698,0.29078694950227707,0.27457536721187414
64,0.887057410364,0.898308662976,0.9795025995,0.9828117399,0.2531561129113178,0.23914187091971884
65,0.84904675804515,0.8702918851855,1.029495899,1.0383306939999999,0.3344506612702259,0.31166729851147257
66,0.89272266641535,0.901004657425,1.0414698155,1.044663377,0.28609916192251955,0.2768025491531851
67,0.800605271929,0.872706102885,0.9518012374,0.98472875605,0.27971804389904203,0.2123954408886217
68,0.936801354926,0.962952500975,1.0164701,1.0352662735,0.22649904497671156,0.19610786628298002
69,0.851437099165,0.90633596919,0.9881655030000001,1.0167325329999999,0.28863022302616814,0.23436017178897245
70,0.9555182961805,0.988482093285,1.016522627,1.0345790165,0.2254581765496496,0.18808300568533864
71,0.795922497832,0.866086683205,0.9304010255499999,0.9689611795499999,0.23809180651058226,0.1796043315458259
72,0.824795323952,0.865001062075,0.9821779293999999,0.9999439351999999,0.2665701060597749,0.23057332637184474
73,0.9251680632333,0.9377879453635,1.0181980631999998,1.0229751188,0.2545868634151825,0.23875409986204174
74,0.816929778907,0.873952585625,0.95226622365,0.9805898155499999,0.298769571187289,0.23984677203459817
75,0.9194723469005,0.94249289885,1.0412101405,1.0535962255,0.25805082645614336,0.2355814298023034
76,0.90474144502185,0.916840843617,1.033664803,1.03730174,0.2773059990609403,0.26302430934306725
77,0.8668516996255,0.891384564035,0.9413469571499999,0.9543109127,0.2589647988215193,0.23229178267720965
78,0.8865189408835,0.9061324007,1.0011237915,1.0093423344999999,0.26448267505474626,0.24153375100214555
79,0.9077184818608,0.917433067426,1.0412471045,1.044839678,0.2565866641524061,0.2461573883932188
80,0.86882033545295,0.873452417991,1.0217778979999999,1.020883561,0.2917112863016382,0.28582048453546655
81,0.8891861423805,0.935615361725,0.9739008895000001,1.005288918,0.2144678874743802,0.16928696064484636
82,0.96225134692,0.987695161085,1.0362646524999999,1.0543121935,0.23156697377505717,0.20526527272480222
83,0.842316054223,0.90403812584,0.96972075465,1.0023059546,0.24885515315642584,0.19319340381712438
84,0.8690182179554999,0.876167909898,1.0253401465,1.0269725535,0.2985751943632961,0.29033282130227756
85,0.8916054465959999,0.924449536525,1.0071451138,1.0229989945,0.2642692873994072,0.22813864197104192
86,0.8228507540665,0.845222460975,0.96800521465,0.9747134583,0.3035952929050562,0.2782385544711826
87,0.874677157652,0.91546478642,0.99910834085,1.0206165569999999,0.25485451126688285,0.21730422358208465
88,0.760972768996,0.775445509325,0.94959073775,0.94725980845,0.38665620073937557,0.36732914673265055
89,0.871787375563,0.883322261199,1.0503706099999999,1.0562099125,0.2862023048291095,0.275052999244147
90,0.9229107979912999,0.9240264326145,0.9809535537,0.98041210375,0.2504681734756644,0.2480626225648498
91,0.9275406702205,0.952189901365,1.0079631376,1.0201192185,0.23713361341618105,0.20832419587568105
92,0.821282057233,0.870141989135,0.88965267485,0.9231654639,0.2759999037516544,0.2320645442386358
93,0.8381349320565,0.874422830135,0.98707731375,1.00241854725,0.2754631623470545,0.24340141127884637
94,0.9020920266265,0.948049060395,1.0065203522,1.031061946,0.2544311421241588,0.2036144989676628
95,0.8580610595095,0.906853636175,0.9870462249499999,1.01071622285,0.3015060807613068,0.24737735782761017
96,0.9676854703477,0.969831477443,1.046739579,1.0481107565,0.23931344047559433,0.23589548480175201
97,0.8254704843925,0.842184240127,1.0132412855,1.01876698,0.3163648894031586,0.29843070088370716
98,0.7732717427135,0.86073281687,0.9235259304,0.9619205096,0.2916676796652854,0.21469520864843836
99,0.8426957040313,0.846611992165,0.9748778791,0.9742945134500001,0.30195786725939805,0.296722131181232
100,0.8528903013475,0.900177013425,0.9682252435,0.99368074945,0.24825056437156795,0.202970084264747
101,0.9282981700195,0.974565728605,1.01383866,1.0428376495,0.22974921649977095,0.18174996670210536
102,0.721070217482,0.77636501784,0.7781957401999999,0.8169994334,0.3006590018609977,0.25518636359244967
103,0.8264654233495,0.8838733653,0.9418577878000001,0.9732516287,0.27861544415814987,0.22422753592679404
104,0.8064927363935,0.825707102755,0.96116031755,0.9660749498000001,0.29812520178118784,0.27889763571582116
105,0.7722871156085,0.85997890268,0.94347578185,0.9856208394,0.3155981150658081,0.22953818045436933
106,0.8769048484399999,0.923283046085,0.99999453845,1.02298609355,0.2613618236798872,0.215890545109878
107,0.9030570741325,0.94286718101,1.0205446569999999,1.0420087735,0.2580836711615441,0.21836494799109807
108,0.8436960898115,0.8571175688835,1.002782397,1.0059859324999998,0.3325165376808384,0.3157980491303416
109,0.8492434826955,0.897252275365,0.99234725435,1.0131710965,0.2588473975091595,0.2108753662542055
110,0.871618716836,0.928055104105,0.9789141270499999,1.01100971455,0.25093747167714175,0.19797830214263093
111,0.923881956614,0.943223059515,1.048281743,1.0578010585,0.2900477892470683,0.2636511984555745
112,0.8570423388580001,0.903705645385,0.9795466203500001,1.0024956485,0.26597188302191316,0.22277350807308155
113,0.9023074402161,0.9050745177295,1.049622593,1.0495463479999998,0.2974845957692648,0.29333582015601534
114,0.8260547407185,0.902629218375,0.95536656925,0.9950497098,0.25888292398380874,0.18622087265188356
115,0.8232547808855,0.892127804825,0.90237507875,0.94662327955,0.22732021238553324,0.16866664772778753
