Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 324 | GridSize: 17
Generation 2 | Revalues: 516 | GridSize: 23
Generation 3 | Revalues: 714 | GridSize: 21
Generation 4 | Revalues: 890 | GridSize: 26
Generation 5 | Revalues: 1092 | GridSize: 30
Generation 6 | Revalues: 1294 | GridSize: 34
Generation 7 | Revalues: 1530 | GridSize: 40
Generation 8 | Revalues: 1712 | GridSize: 41
Generation 9 | Revalues: 1918 | GridSize: 47
Generation 10 | Revalues: 2096 | GridSize: 46
Generation 11 | Revalues: 2322 | GridSize: 47
Generation 12 | Revalues: 2516 | GridSize: 49
Generation 13 | Revalues: 2714 | GridSize: 52
Generation 14 | Revalues: 2930 | GridSize: 54
Generation 15 | Revalues: 3148 | GridSize: 57
Generation 16 | Revalues: 3350 | GridSize: 58
Generation 17 | Revalues: 3538 | GridSize: 60
Generation 18 | Revalues: 3732 | GridSize: 62
Generation 19 | Revalues: 3938 | GridSize: 59
Generation 20 | Revalues: 4124 | GridSize: 63
Generation 21 | Revalues: 4332 | GridSize: 62
Generation 22 | Revalues: 4504 | GridSize: 61
Generation 23 | Revalues: 4700 | GridSize: 71
Generation 24 | Revalues: 4924 | GridSize: 72
Generation 25 | Revalues: 5108 | GridSize: 67
Generation 26 | Revalues: 5302 | GridSize: 65
Generation 27 | Revalues: 5510 | GridSize: 70
Generation 28 | Revalues: 5704 | GridSize: 62
Generation 29 | Revalues: 5900 | GridSize: 58
Generation 30 | Revalues: 6112 | GridSize: 57
Generation 31 | Revalues: 6306 | GridSize: 62
Generation 32 | Revalues: 6512 | GridSize: 61
Generation 33 | Revalues: 6708 | GridSize: 62
Generation 34 | Revalues: 6920 | GridSize: 63
Generation 35 | Revalues: 7112 | GridSize: 73
Generation 36 | Revalues: 7294 | GridSize: 75
Generation 37 | Revalues: 7486 | GridSize: 77
Generation 38 | Revalues: 7708 | GridSize: 70
Generation 39 | Revalues: 7912 | GridSize: 72
Generation 40 | Revalues: 8128 | GridSize: 80
Generation 41 | Revalues: 8324 | GridSize: 81
Generation 42 | Revalues: 8518 | GridSize: 84
Generation 43 | Revalues: 8710 | GridSize: 84
Generation 44 | Revalues: 8900 | GridSize: 82
Generation 45 | Revalues: 9078 | GridSize: 83
Generation 46 | Revalues: 9266 | GridSize: 80
Generation 47 | Revalues: 9458 | GridSize: 80
Generation 48 | Revalues: 9668 | GridSize: 84
Generation 49 | Revalues: 9864 | GridSize: 83
Generation 50 | Revalues: 10068 | GridSize: 83
Generation 51 | Revalues: 10262 | GridSize: 87
Generation 52 | Revalues: 10470 | GridSize: 90
Generation 53 | Revalues: 10672 | GridSize: 95
Generation 54 | Revalues: 10884 | GridSize: 98
Generation 55 | Revalues: 11064 | GridSize: 99
Generation 56 | Revalues: 11262 | GridSize: 99
Generation 57 | Revalues: 11474 | GridSize: 102
Generation 58 | Revalues: 11668 | GridSize: 102
Generation 59 | Revalues: 11874 | GridSize: 107
Generation 60 | Revalues: 12080 | GridSize: 104
Generation 61 | Revalues: 12278 | GridSize: 101
Generation 62 | Revalues: 12482 | GridSize: 103
Generation 63 | Revalues: 12672 | GridSize: 94
Generation 64 | Revalues: 12890 | GridSize: 107
Generation 65 | Revalues: 13098 | GridSize: 103
Generation 66 | Revalues: 13302 | GridSize: 101
Generation 67 | Revalues: 13520 | GridSize: 101
Generation 68 | Revalues: 13702 | GridSize: 105
Generation 69 | Revalues: 13898 | GridSize: 109
Generation 70 | Revalues: 14090 | GridSize: 105
Generation 71 | Revalues: 14286 | GridSize: 109
Generation 72 | Revalues: 14470 | GridSize: 105
Generation 73 | Revalues: 14670 | GridSize: 98
Generation 74 | Revalues: 14886 | GridSize: 102
Generation 75 | Revalues: 15086 | GridSize: 108
Generation 76 | Revalues: 15294 | GridSize: 112
Generation 77 | Revalues: 15494 | GridSize: 108
Generation 78 | Revalues: 15682 | GridSize: 119
Generation 79 | Revalues: 15884 | GridSize: 121
Generation 80 | Revalues: 16062 | GridSize: 125
Generation 81 | Revalues: 16238 | GridSize: 132
Generation 82 | Revalues: 16438 | GridSize: 133
Generation 83 | Revalues: 16656 | GridSize: 125
Generation 84 | Revalues: 16864 | GridSize: 119
Generation 85 | Revalues: 17074 | GridSize: 105
Generation 86 | Revalues: 17250 | GridSize: 110
Generation 87 | Revalues: 17460 | GridSize: 106
Generation 88 | Revalues: 17672 | GridSize: 110
Generation 89 | Revalues: 17876 | GridSize: 112
Generation 90 | Revalues: 18064 | GridSize: 122
Generation 91 | Revalues: 18266 | GridSize: 119
Generation 92 | Revalues: 18478 | GridSize: 114
Generation 93 | Revalues: 18694 | GridSize: 116
Generation 94 | Revalues: 18892 | GridSize: 112
Generation 95 | Revalues: 19066 | GridSize: 115
Generation 96 | Revalues: 19288 | GridSize: 121
Generation 97 | Revalues: 19472 | GridSize: 121
Generation 98 | Revalues: 19662 | GridSize: 121
Generation 99 | Revalues: 19878 | GridSize: 123
Generation 100 | Revalues: 20086 | GridSize: 126
Generation 101 | Revalues: 20294 | GridSize: 130
Generation 102 | Revalues: 20508 | GridSize: 132
Generation 103 | Revalues: 20700 | GridSize: 136
Generation 104 | Revalues: 20874 | GridSize: 138
Generation 105 | Revalues: 21040 | GridSize: 141
Generation 106 | Revalues: 21216 | GridSize: 141
Generation 107 | Revalues: 21406 | GridSize: 136
Generation 108 | Revalues: 21604 | GridSize: 134
Generation 109 | Revalues: 21802 | GridSize: 135
Generation 110 | Revalues: 21994 | GridSize: 134
Generation 111 | Revalues: 22190 | GridSize: 137
Generation 112 | Revalues: 22380 | GridSize: 134
Generation 113 | Revalues: 22596 | GridSize: 139
Generation 114 | Revalues: 22798 | GridSize: 130
Generation 115 | Revalues: 23006 | GridSize: 127
Generation 116 | Revalues: 23216 | GridSize: 125
Generation 117 | Revalues: 23406 | GridSize: 126
Generation 118 | Revalues: 23620 | GridSize: 135
Generation 119 | Revalues: 23848 | GridSize: 141
Generation 120 | Revalues: 24042 | GridSize: 142
Generation 121 | Revalues: 24238 | GridSize: 144
Generation 122 | Revalues: 24444 | GridSize: 143
Generation 123 | Revalues: 24642 | GridSize: 145
Generation 124 | Revalues: 24846 | GridSize: 141
Generation 125 | Revalues: 25044 | GridSize: 148
Generation 126 | Revalues: 25220 | GridSize: 149
Generation 127 | Revalues: 25426 | GridSize: 147
Generation 128 | Revalues: 25624 | GridSize: 146
Generation 129 | Revalues: 25836 | GridSize: 141
Generation 130 | Revalues: 26050 | GridSize: 133
Generation 131 | Revalues: 26260 | GridSize: 127
Generation 132 | Revalues: 26470 | GridSize: 131
Generation 133 | Revalues: 26658 | GridSize: 132
Generation 134 | Revalues: 26856 | GridSize: 132
Generation 135 | Revalues: 27042 | GridSize: 135
Generation 136 | Revalues: 27256 | GridSize: 137
Generation 137 | Revalues: 27456 | GridSize: 144
Generation 138 | Revalues: 27652 | GridSize: 137
Generation 139 | Revalues: 27850 | GridSize: 138
Generation 140 | Revalues: 28030 | GridSize: 140
Generation 141 | Revalues: 28250 | GridSize: 142
Generation 142 | Revalues: 28448 | GridSize: 135
Generation 143 | Revalues: 28674 | GridSize: 137
Generation 144 | Revalues: 28894 | GridSize: 142
Generation 145 | Revalues: 29120 | GridSize: 140
Generation 146 | Revalues: 29336 | GridSize: 140
Generation 147 | Revalues: 29542 | GridSize: 143
Generation 148 | Revalues: 29726 | GridSize: 146
Generation 149 | Revalues: 29922 | GridSize: 148
Generation 150 | Revalues: 30106 | GridSize: 147
Generation 151 | Revalues: 30312 | GridSize: 137
Generation 152 | Revalues: 30536 | GridSize: 136
Generation 153 | Revalues: 30736 | GridSize: 139
Generation 154 | Revalues: 30942 | GridSize: 134
Generation 155 | Revalues: 31142 | GridSize: 132
Generation 156 | Revalues: 31362 | GridSize: 129
Generation 157 | Revalues: 31560 | GridSize: 128
Generation 158 | Revalues: 31740 | GridSize: 131
Generation 159 | Revalues: 31932 | GridSize: 135
Generation 160 | Revalues: 32118 | GridSize: 137
Generation 161 | Revalues: 32294 | GridSize: 142
Generation 162 | Revalues: 32462 | GridSize: 143
Generation 163 | Revalues: 32678 | GridSize: 143
Generation 164 | Revalues: 32900 | GridSize: 140
Generation 165 | Revalues: 33098 | GridSize: 141
Generation 166 | Revalues: 33304 | GridSize: 142
Generation 167 | Revalues: 33494 | GridSize: 144
Generation 168 | Revalues: 33704 | GridSize: 147
Generation 169 | Revalues: 33918 | GridSize: 147
Generation 170 | Revalues: 34100 | GridSize: 149
Generation 171 | Revalues: 34306 | GridSize: 146
Generation 172 | Revalues: 34506 | GridSize: 149
Generation 173 | Revalues: 34704 | GridSize: 150
Generation 174 | Revalues: 34906 | GridSize: 147
Generation 175 | Revalues: 35114 | GridSize: 153
Generation 176 | Revalues: 35332 | GridSize: 153
Generation 177 | Revalues: 35550 | GridSize: 154
Generation 178 | Revalues: 35740 | GridSize: 156
Generation 179 | Revalues: 35930 | GridSize: 159
Generation 180 | Revalues: 36120 | GridSize: 160
Generation 181 | Revalues: 36298 | GridSize: 165
Generation 182 | Revalues: 36508 | GridSize: 170
Generation 183 | Revalues: 36700 | GridSize: 171
Generation 184 | Revalues: 36914 | GridSize: 173
Generation 185 | Revalues: 37108 | GridSize: 175
Generation 186 | Revalues: 37316 | GridSize: 185
Generation 187 | Revalues: 37500 | GridSize: 180
Generation 188 | Revalues: 37692 | GridSize: 180
Generation 189 | Revalues: 37910 | GridSize: 184
Generation 190 | Revalues: 38132 | GridSize: 185
Generation 191 | Revalues: 38334 | GridSize: 191
Generation 192 | Revalues: 38538 | GridSize: 187
Generation 193 | Revalues: 38750 | GridSize: 188
Generation 194 | Revalues: 38942 | GridSize: 191
Generation 195 | Revalues: 39164 | GridSize: 196
Generation 196 | Revalues: 39362 | GridSize: 199
Generation 197 | Revalues: 39568 | GridSize: 195
Generation 198 | Revalues: 39744 | GridSize: 194
Generation 199 | Revalues: 39934 | GridSize: 195
Generation 200 | Revalues: 40120 | GridSize: 196
Generation 201 | Revalues: 40338 | GridSize: 194
Generation 202 | Revalues: 40548 | GridSize: 200
Generation 203 | Revalues: 40748 | GridSize: 203
Generation 204 | Revalues: 40936 | GridSize: 204
Generation 205 | Revalues: 41154 | GridSize: 207
Generation 206 | Revalues: 41362 | GridSize: 205
Generation 207 | Revalues: 41580 | GridSize: 201
Generation 208 | Revalues: 41778 | GridSize: 202
Generation 209 | Revalues: 41980 | GridSize: 199
Generation 210 | Revalues: 42180 | GridSize: 198
Generation 211 | Revalues: 42380 | GridSize: 199
Generation 212 | Revalues: 42554 | GridSize: 198
Generation 213 | Revalues: 42750 | GridSize: 203
Generation 214 | Revalues: 42942 | GridSize: 205
Generation 215 | Revalues: 43162 | GridSize: 205
Generation 216 | Revalues: 43338 | GridSize: 203
Generation 217 | Revalues: 43526 | GridSize: 200
Generation 218 | Revalues: 43716 | GridSize: 203
Generation 219 | Revalues: 43902 | GridSize: 206
Generation 220 | Revalues: 44100 | GridSize: 204
Generation 221 | Revalues: 44276 | GridSize: 207
Generation 222 | Revalues: 44478 | GridSize: 204
Generation 223 | Revalues: 44674 | GridSize: 203
Generation 224 | Revalues: 44896 | GridSize: 208
Generation 225 | Revalues: 45122 | GridSize: 206
Generation 226 | Revalues: 45338 | GridSize: 215
Generation 227 | Revalues: 45546 | GridSize: 217
Generation 228 | Revalues: 45744 | GridSize: 213
Generation 229 | Revalues: 45960 | GridSize: 207
Generation 230 | Revalues: 46152 | GridSize: 204
Generation 231 | Revalues: 46372 | GridSize: 201
Generation 232 | Revalues: 46572 | GridSize: 204
Generation 233 | Revalues: 46754 | GridSize: 205
Generation 234 | Revalues: 46934 | GridSize: 205
Generation 235 | Revalues: 47126 | GridSize: 202
Generation 236 | Revalues: 47328 | GridSize: 206
Generation 237 | Revalues: 47528 | GridSize: 198
Generation 238 | Revalues: 47700 | GridSize: 192
Generation 239 | Revalues: 47896 | GridSize: 192
Generation 240 | Revalues: 48088 | GridSize: 191
Generation 241 | Revalues: 48296 | GridSize: 193
Generation 242 | Revalues: 48504 | GridSize: 196
Generation 243 | Revalues: 48728 | GridSize: 196
Generation 244 | Revalues: 48932 | GridSize: 194
Generation 245 | Revalues: 49128 | GridSize: 194
Generation 246 | Revalues: 49308 | GridSize: 193
Generation 247 | Revalues: 49510 | GridSize: 199
Generation 248 | Revalues: 49710 | GridSize: 202
Generation 249 | Revalues: 49920 | GridSize: 200
Generation 250 | Revalues: 50136 | GridSize: 201
Generation 251 | Revalues: 50328 | GridSize: 203
Generation 252 | Revalues: 50532 | GridSize: 207
Generation 253 | Revalues: 50728 | GridSize: 206
Generation 254 | Revalues: 50922 | GridSize: 202
Generation 255 | Revalues: 51158 | GridSize: 204
Generation 256 | Revalues: 51356 | GridSize: 203
Generation 257 | Revalues: 51570 | GridSize: 206
Generation 258 | Revalues: 51758 | GridSize: 210
Generation 259 | Revalues: 51946 | GridSize: 213
Generation 260 | Revalues: 52146 | GridSize: 216
Generation 261 | Revalues: 52340 | GridSize: 212
Generation 262 | Revalues: 52530 | GridSize: 214
Generation 263 | Revalues: 52726 | GridSize: 212
Generation 264 | Revalues: 52922 | GridSize: 212
Generation 265 | Revalues: 53114 | GridSize: 212
Generation 266 | Revalues: 53302 | GridSize: 215
Generation 267 | Revalues: 53494 | GridSize: 212
Generation 268 | Revalues: 53698 | GridSize: 209
Generation 269 | Revalues: 53868 | GridSize: 202
Generation 270 | Revalues: 54070 | GridSize: 205
Generation 271 | Revalues: 54270 | GridSize: 205
Generation 272 | Revalues: 54470 | GridSize: 203
Generation 273 | Revalues: 54664 | GridSize: 205
Generation 274 | Revalues: 54858 | GridSize: 205
Generation 275 | Revalues: 55076 | GridSize: 201
Generation 276 | Revalues: 55294 | GridSize: 203
Generation 277 | Revalues: 55516 | GridSize: 209
Generation 278 | Revalues: 55704 | GridSize: 214
Generation 279 | Revalues: 55910 | GridSize: 218
Generation 280 | Revalues: 56120 | GridSize: 219
Generation 281 | Revalues: 56314 | GridSize: 220
Generation 282 | Revalues: 56504 | GridSize: 219
Generation 283 | Revalues: 56702 | GridSize: 220
Generation 284 | Revalues: 56892 | GridSize: 217
Generation 285 | Revalues: 57090 | GridSize: 214
Generation 286 | Revalues: 57294 | GridSize: 218
Generation 287 | Revalues: 57472 | GridSize: 218
Generation 288 | Revalues: 57648 | GridSize: 218
Generation 289 | Revalues: 57852 | GridSize: 219
Generation 290 | Revalues: 58068 | GridSize: 222
Generation 291 | Revalues: 58300 | GridSize: 223
Generation 292 | Revalues: 58524 | GridSize: 221
Generation 293 | Revalues: 58724 | GridSize: 218
Generation 294 | Revalues: 58934 | GridSize: 221
Generation 295 | Revalues: 59160 | GridSize: 222
